Molecule ChEMBL ID,Smiles,Standard Value,Standard Units
CHEMBL190333,OCCC#Cc1nc(-c2ccc(F)cc2)c(-c2ccncc2)n1CCCc1ccccc1,5000.0,nM
CHEMBL563826,CCOC(=O)c1csc(N/N=C(\C)c2ccco2)n1,49000.0,nM
CHEMBL570070,CCOC(=O)c1csc(N/N=C2/CCCC2C)n1,130000.0,nM
CHEMBL281803,COc1ccc(OC)c(N(C)Cc2cnc3nc(N)nc(N)c3c2C)c1,200.0,nM
CHEMBL23227,Cc1cc(Cl)ccc1NCc1ccc2nc(N)nc(N)c2c1,200.0,nM
CHEMBL561632,CCOC(=O)c1csc(N/N=C/c2ccc3c(c2)OCO3)n1,479000.0,nM
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,,
CHEMBL418995,O=C(O)CCCCCCNC1c2ccccc2CCc2ccccc21,,
CHEMBL1213630,NC(=O)c1nnn(Cc2cc(Cl)c(C(=O)C34CC5CC(CC(C5)C3)C4)c(Cl)c2)c1N,15000.0,nM
CHEMBL1213006,COc1ccc(Sc2cc3ccccc3[nH]2)cc1,17000.0,nM
CHEMBL296401,CCCN(CCC)c1c([N+](=O)[O-])cc(S(=O)(=O)N(C)C)cc1[N+](=O)[O-],3400.0,nM
CHEMBL898,O=C(O)c1cc(-c2ccc(F)cc2F)ccc1O,,
CHEMBL139,O=C(O)Cc1ccccc1Nc1c(Cl)cccc1Cl,,
CHEMBL51,O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,,
CHEMBL71,CN(C)CCCN1c2ccccc2Sc2ccc(Cl)cc21,,
CHEMBL467,NC(=O)NO,100000.0,nM
CHEMBL567597,C[C@@H]1CC[C@H]2[C@@H](C)C(=O)O[C@@H]3O[C@]4(C)CC[C@@H]1[C@]32OO4,640.0,nM
CHEMBL1256629,COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],3300.0,nM
CHEMBL1256629,COP(=S)(NC(C)C)Oc1ccc(C)cc1[N+](=O)[O-],1500.0,nM
CHEMBL1256668,CCCCN(CC)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],22900.0,nM
CHEMBL50514,COc1cc(N(C)Cc2cnc3nc(N)nc(N)c3c2C)cc(OC)c1OC,4700.0,nM
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,1500.0,nM
CHEMBL36,CCc1nc(N)nc(N)c1-c1ccc(Cl)cc1,5900.0,nM
CHEMBL1256704,CCCN(CCCl)c1c([N+](=O)[O-])cc(C(F)(F)F)cc1[N+](=O)[O-],330.0,nM
CHEMBL439,Nc1ccc(S(=O)(=O)Nc2ncccn2)cc1,3000000.0,nM
